"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000258597",0.760404590755239,2.01616249417469,1.02004988469249,1.97653323080615,0.048094415902333,0.128744472031084
"ENSG00000135916",259.983901265943,2.17899385415428,0.297261785759188,7.3302185431917,2.2977771818027e-13,5.24886738550429e-12
"ENSG00000250567",1.53463903071085,2.12315405529411,0.879820165734926,2.41316821093843,0.0158145190914719,0.0515020679430387
"ENSG00000211947",326.932412857158,2.40829228181449,0.268775673657165,8.96023159032752,3.2399719743396e-19,1.32472630711462e-17
"ENSG00000211685",7.3740365342853,2.50703740192808,0.525614693486541,4.76972472991239,1.84477834665236e-06,1.57428253745545e-05
"ENSG00000229565",1.54219454294249,-3.81266165977465,0.75235189263165,-5.06765743146913,4.02741373492218e-07,3.86488421060088e-06
"ENSG00000204709",0.855797157501821,2.32492005907466,0.820049140285543,2.83509846527626,0.0045811563508186,0.0178638952845427
"ENSG00000256713",1.14939425867411,-2.3090875057515,0.52054936055553,-4.43586656851762,9.17026388846812e-06,6.85029406653861e-05
"ENSG00000276422",10.7062319711564,-3.06148408854108,0.299110315240482,-10.2353009326331,1.37766206172024e-24,9.33017079553129e-23
"ENSG00000240063",1.36724596020371,2.35957452950935,0.654070854112536,3.60752128714082,0.000309136182499736,0.00164588921269599
"ENSG00000235036",4.726735344984,-5.68885395946455,2.12618316302817,-2.67561800807524,0.00745916081701936,0.0271802343731802
"ENSG00000184828",0.944530019968637,-2.17891583083492,0.68482328119321,-3.18171985484849,0.00146403356786127,0.00658879392725854
"ENSG00000235890",2.05291694889971,-2.26445186276298,0.554016029768495,-4.08733997048645,4.36347464539227e-05,0.000280736042941779
"ENSG00000279976",1.58542750615511,-2.00351839322006,0.784450219505684,-2.5540414718509,0.0106480573092059,0.0368522982987565
"ENSG00000244247",0.512435486413467,-2.11515341676938,0.958354375018199,-2.20706814922112,0.027309298575802,NA
"ENSG00000236118",1.17164449016307,-2.2211494273595,0.508356285628166,-4.36927700149291,1.24658562456837e-05,9.05438900410976e-05
"ENSG00000169439",45.285595497819,-3.0249863036226,0.232575524429914,-13.0064688063691,1.12417966008706e-38,1.9751515433541e-36
"ENSG00000262332",7.13907374174209,-2.4399835469886,0.248893265507554,-9.8033329347537,1.08930777930708e-22,6.26036379258968e-21
"ENSG00000264660",3.07689018841137,-2.4452234671912,0.401325764214919,-6.09286441396205,1.10907995575977e-09,1.5571178721345e-08
"ENSG00000159450",2.25346168224003,2.57632591065414,0.812133778281744,3.17229252070386,0.0015124058418633,0.00677377165619387
"ENSG00000256075",0.671478859739628,2.28944147038712,0.89100589302855,2.56950205189469,0.0101844788675678,0.035451394966728
"ENSG00000237207",1.26053596179191,-3.17390272138105,0.367343889207196,-8.64014024632608,5.6144058680622e-18,2.00961742986389e-16
"ENSG00000236420",0.657274819678132,-2.65472706717015,1.34072748561386,-1.980064625851,0.0476962673808925,0.127812195673723
